Predator	Prey
Aequiyoldia eightsii	Aged detritus
Aequiyoldia eightsii	Benthic Copepoda
Aequiyoldia eightsii	Fresh detritus
Aequiyoldia eightsii	Nematoda
Aequiyoldia eightsii	Phytoplankton
Aequiyoldia eightsii	Polychaeta
Aequiyoldia eightsii	Zooplankton
Aglaophamus trissophyllus	Benthic Copepoda
Aglaophamus trissophyllus	Cirratulidae
Aglaophamus trissophyllus	Maldanidae
Aglaophamus trissophyllus	Nematoda
Aglaophamus trissophyllus	Ophaeliidae
Aglaophamus trissophyllus	Orbiniidae
Aglaophamus trissophyllus	Polychaeta
Aglaophamus trissophyllus	Spionidae
Aglaophamus trissophyllus	Seraphsidae
Ascidiacea	Fresh detritus
Ascidiacea	Phytoplankton
Ascidiacea	Phytoplankton
Ascidiacea	Zooplankton
Barrukia cristata	Benthic Copepoda
Barrukia cristata	Cirratulidae
Barrukia cristata	Cumacea
Barrukia cristata	Maldanidae
Barrukia cristata	Nematoda
Barrukia cristata	Ophaeliidae
Barrukia cristata	Orbiniidae
Barrukia cristata	Polychaeta
Barrukia cristata	Spionidae
Barrukia cristata	Seraphsidae
Benthic Copepoda	Phytoplankton
Benthic Copepoda	Zooplankton
Bovallia gigantea	Charcotia obesa
Bovallia gigantea	Copepoda
Bovallia gigantea	Copepoda
Bovallia gigantea	Eurymera monticulosa
Bovallia gigantea	Gitanopsis squamosa
Bovallia gigantea	Gondogeneia antarctica
Bovallia gigantea	Palmaria decipiens
Bovallia gigantea	Paradexamine sp.
Bovallia gigantea	Prostebbingia sp.
Calanoides acutus	Phytoplankton
Camptoplites sp.	Phytoplankton
Camptoplites sp.	Zooplankton
Cellarinella sp.	Phytoplankton
Cellarinella sp.	Zooplankton
Chaenocephalus aceratus 	Chaenocephalus aceratus 
Chaenocephalus aceratus 	Euphausia superba
Chaenocephalus aceratus 	Euphausia superba
Chaenocephalus aceratus 	Euphausia superba
Chaenocephalus aceratus 	Harpagifer antarcticus
Chaenocephalus aceratus 	Lepidonotothen nudifrons
Chaenocephalus aceratus 	Mysida
Chaenocephalus aceratus 	Octopoda
Chaenocephalus aceratus 	Ophionotus victoriae
Chaenocephalus aceratus 	Parachaenichthys charcoti
Chalinidae	Benthic Diatomea
Chalinidae	Fresh detritus
Chalinidae	Phytoplankton
Chalinidae	Zooplankton
Charcotia obesa	Necromass
Charcotia obesa	Necromass
Charcotia obesa	Necromass
Charcotia obesa	Necromass
Charcotia obesa	Porifera
Cheirimedon femoratus	Copepoda
Cheirimedon femoratus	Fresh detritus
Cheirimedon femoratus	Necromass
Cirratulidae	Aged detritus
Cirratulidae	Benthic Copepoda
Cirratulidae	Benthic Diatomea
Cirratulidae	Fresh detritus
Cirratulidae	Nematoda
Cirratulidae	Nematoda
Cirratulidae	Polychaeta
Copepoda	Euphausia superba
Copepoda	Phytoplankton
Copepoda	Zooplankton
Cumacea	Aged detritus
Cumacea	Benthic Copepoda
Cumacea	Nematoda
Cumacea	Nematoda
Cumacea	Phytoplankton
Dacrydium sp.	Phytoplankton
Dacrydium sp.	Zooplankton
Dendrilla antarctica	Benthic Diatomea
Dendrilla antarctica	Fresh detritus
Dendrilla antarctica	Phytoplankton
Dendrilla antarctica	Zooplankton
Diplasterias brucei	Neobuccinum eatoni
Doris kerguelensis	Camptoplites sp.
Doris kerguelensis	Cellarinella sp.
Doris kerguelensis	Chalinidae
Doris kerguelensis	Dendrilla antarctica
Doris kerguelensis	Mycale acerata
Doris kerguelensis	Nereididae 
Doris kerguelensis	Palmaria decipiens
Doris kerguelensis	Rosella antartica
Doris kerguelensis	Rosella antartica
Doris kerguelensis	Rossella sp.
Doris kerguelensis	Rossella sp.
Doris kerguelensis	Stylocordyla borealis
Eatoniella sp.	Benthic Diatomea
Eatoniella sp.	Epiphytic Diatomea
Eatoniella sp.	Fresh detritus
Euphausia superba	Phytoplankton
Euphausia superba	Salpidae
Euphausia superba	Zooplankton
Eurymera monticulosa	Benthic Diatomea
Eurymera monticulosa	Epiphytic Diatomea
Eurymera monticulosa	Fresh detritus
Eurymera monticulosa	Palmaria decipiens
Gitanopsis squamosa	Fresh detritus
Gitanopsis squamosa	Necromass
Glyptonotus antarcticus	Ascidiacea
Glyptonotus antarcticus	Bovallia gigantea
Glyptonotus antarcticus	Euphausia superba
Glyptonotus antarcticus	Gastropoda
Glyptonotus antarcticus	Necromass
Glyptonotus antarcticus	Necromass
Glyptonotus antarcticus	Nereididae 
Glyptonotus antarcticus	Ophionotus victoriae
Glyptonotus antarcticus	Sterechinus neumayeri
Gobionotothen gibberifrons	Ascidiacea
Gobionotothen gibberifrons	Euphausia superba
Gobionotothen gibberifrons	Gammaridea
Gobionotothen gibberifrons	Hyperiidea
Gobionotothen gibberifrons	Laternula elliptica
Gobionotothen gibberifrons	Nacella concinna
Gobionotothen gibberifrons	Nemertea
Gobionotothen gibberifrons	Polychaeta
Gobionotothen gibberifrons	Polyplacophora
Gobionotothen gibberifrons	Priapulida
Gobionotothen gibberifrons	Salpidae
Gobionotothen gibberifrons	Serolis sp.
Gondogeneia antarctica	Adenocystis utricularis
Gondogeneia antarctica	Adenocystis utricularis
Gondogeneia antarctica	Ascoseira mirabilis
Gondogeneia antarctica	Benthic Diatomea
Gondogeneia antarctica	Desmarestia anceps
Gondogeneia antarctica	Desmarestia anceps
Gondogeneia antarctica	Desmarestia anceps
Gondogeneia antarctica	Desmarestia antarctica
Gondogeneia antarctica	Desmarestia antarctica
Gondogeneia antarctica	Desmarestia menziesii
Gondogeneia antarctica	Desmarestia menziesii
Gondogeneia antarctica	Desmarestia menziesii
Gondogeneia antarctica	Epiphytic Diatomea
Gondogeneia antarctica	Geminocarpus geminatus
Gondogeneia antarctica	Gigartina skottsbergii
Gondogeneia antarctica	Iridaea cordata
Gondogeneia antarctica	Iridaea cordata
Gondogeneia antarctica	Monostroma hariotii
Gondogeneia antarctica	Myriogramme manginii
Gondogeneia antarctica	Myriogramme manginii
Gondogeneia antarctica	Palmaria decipiens
Gondogeneia antarctica	Palmaria decipiens
Gondogeneia antarctica	Palmaria decipiens
Gondogeneia antarctica	Phaeurus antarcticus 
Gondogeneia antarctica	Phaeurus antarcticus 
Gondogeneia antarctica	Picconiella plumosa 
Gondogeneia antarctica	Plocamium cartilagineum
Gondogeneia antarctica	Plocamium cartilagineum
Harpagifer antarcticus	Doris kerguelensis
Harpagifer antarcticus	Eatoniella sp.
Harpagifer antarcticus	Euphausia superba
Harpagifer antarcticus	Eurymera monticulosa
Harpagifer antarcticus	Gondogeneia antarctica
Harpagifer antarcticus	Gondogeneia antarctica
Harpagifer antarcticus	Margarella antarctica
Harpagifer antarcticus	Nacella concinna
Harpagifer antarcticus	Neobuccinum eatoni
Harpagifer antarcticus	Nereididae 
Harpagifer antarcticus	Nereididae 
Harpagifer antarcticus	Paradexamine sp.
Harpagifer antarcticus	Prostebbingia sp.
Hemiarthrum setulosum	Benthic Diatomea
Hemiarthrum setulosum	Epiphytic Diatomea
Hippomedon kergueleni	Necromass
Hydrozoa	Phytoplankton
Hydrozoa	Zooplankton
Hyperiidea	Copepoda
Hyperiidea	Euphausia superba
Hyperiidea	Zooplankton
