Predador	Presa
Acartia tonsa 	Acartia tonsa 
Acartia tonsa 	Fresh detritus
Acartia tonsa 	Phytoplankton
Acartia tonsa 	Zooplankton
Actinaria	Fresh detritus
Actinaria	Phytoplankton
Actinaria	Zooplankton
Amphipoda	Fresh detritus
Amphipoda	Macrocystis pyrifera
Amphipoda	Phytoplankton
Anasterias antarctica	Amphipoda
Anasterias antarctica	Amphipoda
Anasterias antarctica	Anasterias antarctica
Anasterias antarctica	Ascidiacea
Anasterias antarctica	Aulacomya atra
Anasterias antarctica	Aulacomya atra
Anasterias antarctica	Aulacomya atra
Anasterias antarctica	Aulacomya atra
Anasterias antarctica	Balanus sp.
Anasterias antarctica	Crepipatella dilatata
Anasterias antarctica	Crepipatella dilatata
Anasterias antarctica	Eurhomalea exalbida
Anasterias antarctica	Eurypodius latreillii
Anasterias antarctica	Fissurella oriens
Anasterias antarctica	Gaimardia trapesina
Anasterias antarctica	Gaimardia trapesina
Anasterias antarctica	Halicarcinus planatus
Anasterias antarctica	Halicarcinus planatus
Anasterias antarctica	Halicarcinus planatus
Anasterias antarctica	Halicarcinus planatus
Anasterias antarctica	Isopoda
Anasterias antarctica	Isopoda
Anasterias antarctica	Margarella violacea
Anasterias antarctica	Munida gregaria
Anasterias antarctica	Mytilus edulis
Anasterias antarctica	Mytilus edulis
Anasterias antarctica	Nacella deaurata
Anasterias antarctica	Nacella magellanica
Anasterias antarctica	Nacella mytilina
Anasterias antarctica	Notochthamalus scabrosus
Anasterias antarctica	Notochthamalus scabrosus
Anasterias antarctica	Pagurus comptus
Anasterias antarctica	Pagurus comptus
Anasterias antarctica	Pagurus sp.
Anasterias antarctica	Pagurus sp.
Anasterias antarctica	Pareuthria fuscata
Anasterias antarctica	Pareuthria fuscata
Anasterias antarctica	Perumytilus purpuratus
Anasterias antarctica	Perumytilus purpuratus
Anasterias antarctica	Perumytilus purpuratus
Anasterias antarctica	Plaxiphora sp.
Anasterias antarctica	Plaxiphora sp.
Anasterias antarctica	Polyplacophora
Anasterias antarctica	Polyplacophora
Anasterias antarctica	Polyplacophora
Anasterias antarctica	Pseudechinus magellanicus
Anasterias antarctica	Siphonaria lessoni
Anasterias antarctica	Siphonaria lessoni
Anasterias antarctica	Serpulidae
Anasterias antarctica	Serpulidae
Anasterias antarctica	Trophon geversianus
Anasterias antarctica	Trophon geversianus
Anasterias antarctica	Trophon geversianus
Anasterias antarctica	Xymenopsis muriciformis
Arbacia dufresnii	Amphipoda
Arbacia dufresnii	Aulacomya atra
Arbacia dufresnii	Balanus sp.
Arbacia dufresnii	Gaimardia trapesina
Arbacia dufresnii	Macrocystis pyrifera
Arbacia dufresnii	Margarella violacea
Arbacia dufresnii	Membranipora isabelleana
Arbacia dufresnii	Mytilus edulis
Arbacia dufresnii	Phytoplankton
Arbacia dufresnii	Serpulidae
Arbacia dufresnii	Zooplankton
Ascidiacea	Fresh detritus
Ascidiacea	Phytoplankton
Ascidiacea	Zooplankton
Asterina fimbriata	Amphipoda
Asterina fimbriata	Aulacomya atra
Asterina fimbriata	Crepipatella dilatata
Asterina fimbriata	Fissurella oriens
Asterina fimbriata	Gaimardia trapesina
Asterina fimbriata	Halicarcinus planatus
Asterina fimbriata	Margarella violacea
Asterina fimbriata	Nacella mytilina
Asterina fimbriata	Pagurus sp.
Asterina fimbriata	Pareuthria fuscata
Asterina fimbriata	Plaxiphora sp.
Asterina fimbriata	Pseudechinus magellanicus
Asterina fimbriata	Serpulidae
Asterina fimbriata	Trophon geversianus
Aulacomya atra	Fresh detritus
Aulacomya atra	Phytoplankton
Aulacomya atra	Zooplankton
Aurelia aurita	Calanus australis
Aurelia aurita	Ctenophora
Aurelia aurita	Euphausiacea
Aurelia aurita	Obelia sp.
Aurelia aurita	Oncaea curvata
Aurelia aurita	Paracalanus parvus
Aurelia aurita	Phytoplankton
Aurelia aurita	Tisbe sp.
Aurelia aurita	Zooplankton
Austrolycus depressiceps	Anasterias antarctica
Austrolycus depressiceps	Enteromorpha sp.
Austrolycus depressiceps	Halicarcinus planatus
Austrolycus depressiceps	Harpagifer bispinis
Austrolycus depressiceps	Isopoda
Austrolycus depressiceps	Munida gregaria
Austrolycus depressiceps	Nacella deaurata
Austrolycus depressiceps	Nemertea
Austrolycus depressiceps	Patagonotothen cornucola
Austrolycus depressiceps	Polyplacophora
Austrolycus depressiceps	Siphonaria lessoni
Austrolycus depressiceps	Trophon geversianus
Austrolycus depressiceps	Ulva rigida
Austrolycus depressiceps	Xymenopsis muriciformis
Austroregia huxleyana	Fresh detritus
Austroregia huxleyana	Macrocystis pyrifera
Balanus sp.	Fresh detritus
Balanus sp.	Phytoplankton
Bathybiaster loripes	Aged detritus
Bathybiaster loripes	Fresh detritus
Bathyraja albomaculata	Amphipoda
Bathyraja albomaculata	Dissostichus eleginoides
Bathyraja albomaculata	Isopoda
Bathyraja albomaculata	Patagonotothen longipes ramsayi
Bathyraja albomaculata	Polychaeta
Bathyraja brachyurops	Amphipoda
Bathyraja brachyurops	Bathyraja brachyurops
Bathyraja brachyurops	Copepoda
Bathyraja brachyurops	Cottoperca gobio
Bathyraja brachyurops	Euphausiacea
Bathyraja brachyurops	Isopoda
Bathyraja brachyurops	Macruronus magellanicus
Bathyraja brachyurops	Munida gregaria
Bathyraja brachyurops	Pagurus sp.
Bathyraja brachyurops	Patagonotothen longipes ramsayi
Bathyraja brachyurops	Peltarion spinosulum
Bathyraja brachyurops	Polychaeta
Bryozoa	Fresh detritus
Bryozoa	Phytoplankton
Calanus australis	Fresh detritus
Calanus australis	Phytoplankton
Calanus australis	Phytoplankton
Calanus australis	Phytoplankton
Calanus australis	Zooplankton
Calanus australis	Zooplankton
Campylonotus vagans	Fresh detritus
Centropages brachiatus 	Phytoplankton
Centropages brachiatus 	Zooplankton
Champsocephalus esox 	Munida gregaria
Champsocephalus esox 	Patagonotothen sima
Champsocephalus esox 	Patagonotothen tessellata
Chthamalus sp.	Fresh detritus
Clausocalanus brevipes 	Phytoplankton
Copepoda	Phytoplankton
Copepoda	Zooplankton
Cosmasterias lurida	Amphipoda
Cosmasterias lurida	Arbacia dufresnii
Cosmasterias lurida	Ascidiacea
Cosmasterias lurida	Ascidiacea
Cosmasterias lurida	Aulacomya atra
Cosmasterias lurida	Aulacomya atra
Cosmasterias lurida	Balanus sp.
Cosmasterias lurida	Crepipatella dilatata
Cosmasterias lurida	Crepipatella dilatata
Cosmasterias lurida	Fissurella oriens
Cosmasterias lurida	Fissurella picta
Cosmasterias lurida	Fusitriton magellanicus
Cosmasterias lurida	Gaimardia trapesina
Cosmasterias lurida	Gaimardia trapesina
Cosmasterias lurida	Halicarcinus planatus
Cosmasterias lurida	Halicarcinus planatus
Cosmasterias lurida	Loxechinus albus
Cosmasterias lurida	Margarella violacea
Cosmasterias lurida	Margarella violacea
Cosmasterias lurida	Munida gregaria
Cosmasterias lurida	Nacella magellanica
Cosmasterias lurida	Nacella mytilina
Cosmasterias lurida	Nacella mytilina
